taxid	kingdom	phylum	class	order	family	genus	species	species_epithet	species_short	scientificName	currentName	identifiedBy	recordedBy	recordNumber	year	country	department	locality details	source	notes
5296	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia anodae	anodae	P. anodae	Puccinia anodae 	Puccinia anodae		"Hjalmarson, J. A."	354	1852	Honduras	Gracias a Dios		Mycoportal	
168915	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Collemataceae	Leptogium	Leptogium cyanescens	cyanescens	L. cyanescens	Leptogium cyanescens	Leptogium cyanescens		"Hjalmarson, J. A."		1852	Honduras	Lempira		Mycoportal	
129110	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Lobariaceae	Pseudocyphellaria	Pseudocyphellaria clathrata	clathrata	P. clathrata	Pseudocyphellaria clathrata	Pseudocyphellaria clathrata		"Hjalmarson, J. A."		1853	Honduras			Mycoportal	
168915	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Collemataceae	Leptogium	Leptogium sp.	sp.	Leptogium sp.	Leptogium	Leptogium sp.		"Hjalmarson, J. A."		1853	Honduras			Mycoportal	
114778	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Hexagonia	Hexagonia favoloides	favoloides	H. favoloides	Hexagonia favoloides	Hexagonia favoloides		"Peck, C. H."		1883	Honduras			IndexFungorum	
5324	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes maxima	maxima	T. maxima	Trametes maxima	Trametes maxima		"Willson, P."	670	1903	Honduras	Atlántida	along Tela River	Mycoportal	
5644	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum ostrea	ostrea	S. ostrea	Stereum ostrea	Stereum ostrea		"Willson, P."	671	1903	Honduras	Atlántida	Tela River near Puerto Siena	Mycoportal	
2268961	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Datronia	Datronia brunneoleuca	brunneoleuca	D. brunneoleuca	Datronia brunneoleuca	Datronia brunneoleuca		"Willson, P."	631	1903	Honduras	Choluteca	Shire of Lagoona Sicluiada	Mycoportal	
2607957	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Collybiopsis	Collybiopsis polygramma	polygramma	C. polygramma	Gymnopus polygrammus	Collybiopsis polygramma		"Willson, P."	641	1903	Honduras	Choluteca	Shore of Laguona Quemosa	Mycoportal	
5333	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum commune	commune	S. commune	Schizophyllum commune	Schizophyllum commune	"Cooke, W. B."	"Willson, P."	11	1903	Honduras	Colón		Mycoportal	
5644	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum versicolor	versicolor	S. versicolor	Stereum versicolor	Stereum versicolor		"Willson, P."	180	1903	Honduras	Cortés	"near Point Triunfo, Puerto Seina"	Mycoportal	
5314	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma nitidum	nitidum	G. nitidum	Ganoderma nitidum	Ganoderma nitidum		"Willson, P."	448	1903	Honduras	Intibucá	"Along Rio Esperanza, Punta Suina"	Mycoportal	
5314	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma nitidum	nitidum	G. nitidum	Ganoderma nitidum	Ganoderma nitidum		"Willson, P."	607	1903	Honduras	Intibucá	"Forest along Rio Esperanza, Puerto Sierra"	Mycoportal	
255207	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Favolus	Favolus tenuiculus	tenuiculus	F. tenuiculus	Polyporus tenuiculus	Favolus tenuiculus		"Willson, P."	590	1903	Honduras			Mycoportal	
